gender,first_name,year,N,pct
Garçons,Abraham,2007-12-31,18,-0.05263157894736842
Garçons,Abraham,2008-12-31,17,-0.05555555555555555
Garçons,Abraham,2010-12-31,20,0.17647058823529413
Garçons,Abraham,2011-12-31,12,-0.4
Garçons,Abraham,2012-12-31,13,0.08333333333333333
Garçons,Abraham,2013-12-31,19,0.46153846153846156
Garçons,Abraham,2014-12-31,20,0.05263157894736842
Garçons,Abraham,2015-12-31,17,-0.15
Garçons,Abraham,2016-12-31,24,0.4117647058823529
Garçons,Abraham,2017-12-31,27,0.125
Garçons,Abraham,2018-12-31,20,-0.25925925925925924
Garçons,Abraham,2019-12-31,28,0.4
Garçons,Abraham,2020-12-31,18,-0.35714285714285715
Garçons,Abraham,2021-12-31,25,0.3888888888888889
Garçons,Abraham,2022-12-31,28,0.12
Garçons,Abraham,2023-12-31,14,-0.5
Filles,Aby,2014-12-31,15,NA
Filles,Aby,2015-12-31,16,0.06666666666666667
Filles,Aby,2016-12-31,21,0.3125
Filles,Aby,2017-12-31,18,-0.14285714285714285
Filles,Aby,2018-12-31,24,0.3333333333333333
Filles,Aby,2019-12-31,26,0.08333333333333333
Filles,Aby,2020-12-31,20,-0.23076923076923078
Filles,Aby,2021-12-31,12,-0.4
Filles,Aby,2022-12-31,12,0
Filles,Abygael,2008-12-31,16,NA
Filles,Abygael,2009-12-31,25,0.5625
Filles,Abygael,2010-12-31,20,-0.2
Filles,Abygael,2011-12-31,27,0.35
Filles,Abygael,2012-12-31,28,0.037037037037037035
Filles,Abygael,2013-12-31,26,-0.07142857142857142
Filles,Abygael,2014-12-31,28,0.07692307692307693
Filles,Abygael,2015-12-31,26,-0.07142857142857142
Filles,Abygael,2016-12-31,33,0.2692307692307692
Filles,Abygael,2017-12-31,39,0.18181818181818182
Filles,Abygael,2018-12-31,34,-0.1282051282051282
Filles,Abygael,2019-12-31,32,-0.058823529411764705
Filles,Abygael,2020-12-31,28,-0.125
Filles,Abygael,2021-12-31,28,0
Filles,Abygael,2022-12-31,21,-0.25
Filles,Abygael,2023-12-31,14,-0.3333333333333333
Filles,Abygaelle,2006-12-31,20,NA
Filles,Abygaelle,2007-12-31,16,-0.2
Filles,Abygaelle,2008-12-31,31,0.9375
Filles,Abygaelle,2009-12-31,30,-0.03225806451612903
Filles,Abygaelle,2010-12-31,42,0.4
Filles,Abygaelle,2011-12-31,47,0.11904761904761904
Filles,Abygaelle,2012-12-31,37,-0.2127659574468085
Filles,Abygaelle,2013-12-31,30,-0.1891891891891892
Filles,Abygaelle,2014-12-31,28,-0.06666666666666667
Filles,Abygaelle,2015-12-31,49,0.75
Filles,Abygaelle,2016-12-31,59,0.20408163265306123
Filles,Abygaelle,2017-12-31,61,0.03389830508474576
Filles,Abygaelle,2018-12-31,58,-0.04918032786885246
Filles,Abygaelle,2019-12-31,71,0.22413793103448276
